,MPAS_wsm6_tiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,4.008327e-39
2022-02-15 03:00:00,6.8286475e-14
2022-02-15 04:00:00,1.6334696e-09
2022-02-15 05:00:00,1.6899713e-09
2022-02-15 06:00:00,1.6899713e-09
2022-02-15 07:00:00,1.6899713e-09
2022-02-15 08:00:00,1.6899713e-09
2022-02-15 09:00:00,3.0687708e-09
2022-02-15 10:00:00,2.1905341e-06
2022-02-15 11:00:00,2.195531e-06
2022-02-15 12:00:00,0.0010296556
2022-02-15 13:00:00,0.0010367429
2022-02-15 14:00:00,0.0010367429
2022-02-15 15:00:00,0.0015767654
2022-02-15 16:00:00,0.23784938
2022-02-15 17:00:00,1.1012254
2022-02-15 18:00:00,3.4530895
2022-02-15 19:00:00,8.731616
2022-02-15 20:00:00,12.040984
2022-02-15 21:00:00,15.238286
2022-02-15 22:00:00,17.27461
2022-02-15 23:00:00,17.472095
2022-02-16 00:00:00,17.603275
