,MPAS_wsm6_off
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,5.602177e-39
2022-02-15 04:00:00,1.61369e-11
2022-02-15 05:00:00,2.4349139e-11
2022-02-15 06:00:00,2.4349139e-11
2022-02-15 07:00:00,2.4349139e-11
2022-02-15 08:00:00,2.4349139e-11
2022-02-15 09:00:00,2.960564e-11
2022-02-15 10:00:00,3.517201e-05
2022-02-15 11:00:00,4.3486372e-05
2022-02-15 12:00:00,0.0003527235
2022-02-15 13:00:00,0.3130999
2022-02-15 14:00:00,0.46825486
2022-02-15 15:00:00,1.3837597
2022-02-15 16:00:00,7.744454
2022-02-15 17:00:00,11.597949
2022-02-15 18:00:00,15.110567
2022-02-15 19:00:00,16.87974
2022-02-15 20:00:00,17.23845
2022-02-15 21:00:00,17.368017
2022-02-15 22:00:00,17.368069
2022-02-15 23:00:00,17.374043
2022-02-16 00:00:00,17.374043
