,MPAS_wsm6_ntiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,9.947336e-38
2022-02-15 03:00:00,9.612097e-25
2022-02-15 04:00:00,1.0598088e-21
2022-02-15 05:00:00,3.8028083e-09
2022-02-15 06:00:00,1.0244766e-05
2022-02-15 07:00:00,1.024523e-05
2022-02-15 08:00:00,1.0245404e-05
2022-02-15 09:00:00,1.0245404e-05
2022-02-15 10:00:00,1.0245404e-05
2022-02-15 11:00:00,1.0245404e-05
2022-02-15 12:00:00,0.037667114
2022-02-15 13:00:00,0.203551
2022-02-15 14:00:00,0.6082279
2022-02-15 15:00:00,0.975459
2022-02-15 16:00:00,1.6674422
2022-02-15 17:00:00,3.2480807
2022-02-15 18:00:00,5.664591
2022-02-15 19:00:00,15.8972435
2022-02-15 20:00:00,19.206692
2022-02-15 21:00:00,21.902056
2022-02-15 22:00:00,26.334341
2022-02-15 23:00:00,27.08898
2022-02-16 00:00:00,29.541487
